flow_id,source_ip,source_port,destination_ip,destination_port,protocol,timestamp_first,timestamp_last,flow_duration_us,flow_expire_cause,first_timestamp_fwd,first_timestamp_bwd,last_timestamp_fwd,last_timestamp_bwd,fwd_duration_ms,bwd_duration_ms,iat_total,iat_mean,iat_std,iat_max,iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,packet_count,packet_len_total,packet_len_mean,packet_len_max,packet_len_min,packet_len_std,fwd_packet_count,bwd_packet_count,fwd_packet_len_total,fwd_packet_len_mean,fwd_packet_len_std,fwd_packet_len_max,fwd_packet_len_min,bwd_packet_len_total,bwd_packet_len_mean,bwd_packet_len_std,bwd_packet_len_max,bwd_packet_len_min,header_len_total,header_len_mean,header_len_std,header_len_max,header_len_min,fwd_header_len_total,fwd_header_len_mean,fwd_header_len_std,fwd_header_len_max,fwd_header_len_min,bwd_header_len_total,bwd_header_len_mean,bwd_header_len_std,bwd_header_len_max,bwd_header_len_min,payload_len_total,payload_len_mean,payload_len_std,payload_len_max,payload_len_min,payload_len_variance,fwd_payload_len_total,fwd_payload_len_mean,fwd_payload_len_std,fwd_payload_len_max,fwd_payload_len_min,bwd_payload_len_total,bwd_payload_len_mean,bwd_payload_len_std,bwd_payload_len_max,bwd_payload_len_min,fwd_non_zero_payload_packets,bwd_non_zero_payload_packets,fwd_bulk_rate_s,bwd_bulk_rate_s,fwd_bulk_count,bwd_bulk_count,fwd_bulk_packets_total,fwd_bulk_packets_mean,fwd_bulk_packets_std,fwd_bulk_packets_max,fwd_bulk_packets_min,bwd_bulk_packets_total,bwd_bulk_packets_mean,bwd_bulk_packets_std,bwd_bulk_packets_max,bwd_bulk_packets_min,fwd_bulk_bytes_total,fwd_bulk_bytes_mean,fwd_bulk_bytes_std,fwd_bulk_bytes_max,fwd_bulk_bytes_min,bwd_bulk_bytes_total,bwd_bulk_bytes_mean,bwd_bulk_bytes_std,bwd_bulk_bytes_max,bwd_bulk_bytes_min,fwd_bulk_duration_total,fwd_bulk_duration_mean,fwd_bulk_duration_std,fwd_bulk_duration_max,fwd_bulk_duration_min,bwd_bulk_duration_total,bwd_bulk_duration_mean,bwd_bulk_duration_std,bwd_bulk_duration_max,bwd_bulk_duration_min,subflow_count,active_total,active_mean,active_std,active_max,active_min,idle_total,idle_mean,idle_std,idle_max,idle_min,icmp_type,icmp_code,flow_retransmission_count,fwd_retransmission_count,bwd_retransmission_count,fwd_init_window_size,bwd_init_window_size,window_size_total,window_size_mean,window_size_std,window_size_max,window_size_min,fwd_window_size_total,fwd_window_size_mean,fwd_window_size_std,fwd_window_size_max,fwd_window_size_min,bwd_window_size_total,bwd_window_size_mean,bwd_window_size_std,bwd_window_size_max,bwd_window_size_min,fwd_fin_flag_count,fwd_syn_flag_count,fwd_rst_flag_count,fwd_psh_flag_count,fwd_ack_flag_count,fwd_urg_flag_count,fwd_cwr_flag_count,fwd_ece_flag_count,bwd_fin_flag_count,bwd_syn_flag_count,bwd_rst_flag_count,bwd_psh_flag_count,bwd_ack_flag_count,bwd_urg_flag_count,bwd_cwr_flag_count,bwd_ece_flag_count,total_fin_flag_count,total_syn_flag_count,total_rst_flag_count,total_psh_flag_count,total_ack_flag_count,total_urg_flag_count,total_cwr_flag_count,total_ece_flag_count,flags,flow_bytes_s,flow_packets_s,fwd_bytes_s,fwd_packets_s,bwd_bytes_s,bwd_packets_s,fwd_subflow_packets_mean,fwd_subflow_bytes_mean,bwd_subflow_packets_mean,bwd_subflow_bytes_mean,up_down_ratio,label,category,subcategory,scenario
192.168.249.73:44653-192.168.19.166:443-6,192.168.249.73,44653,192.168.19.166,443,6,2025-03-11 15:16:17.941503 UTC,2025-03-11 15:16:17.941583 UTC,80,TCP Reset,1741706177941,1741706177941,1741706177941,1741706177941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0.08,0.08,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1050000,24999.999999999996,550000,12499.999999999998,499999.99999999994,12499.999999999998,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:3306-6,192.168.249.73,44909,192.168.19.166,3306,6,2025-03-11 15:16:18.025289 UTC,2025-03-11 15:16:18.025373 UTC,84,TCP Reset,1741706178025,1741706178025,1741706178025,1741706178025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,0.084,0,0.084,0.084,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1000000,23809.52380952381,523809.52380952385,11904.761904761905,476190.4761904762,11904.761904761905,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:1025-6,192.168.249.73,44909,192.168.19.166,1025,6,2025-03-11 15:16:18.025795 UTC,2025-03-11 15:16:18.025863 UTC,68,TCP Reset,1741706178025,1741706178025,1741706178025,1741706178025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0.068,0,0.068,0.068,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1235294.1176470588,29411.764705882353,647058.8235294118,14705.882352941177,588235.2941176471,14705.882352941177,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:8080-6,192.168.249.73,44909,192.168.19.166,8080,6,2025-03-11 15:16:18.025816 UTC,2025-03-11 15:16:18.025879 UTC,63,TCP Reset,1741706178025,1741706178025,1741706178025,1741706178025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.063,0,0.063,0.063,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1333333.3333333333,31746.031746031746,698412.6984126985,15873.015873015873,634920.6349206349,15873.015873015873,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:80-6,192.168.249.73,44909,192.168.19.166,80,6,2025-03-11 15:16:18.025514 UTC,2025-03-11 15:16:18.026128 UTC,614,TCP Reset,1741706178025,1741706178025,1741706178026,1741706178025,1,0,1,0.5,0.5,1,0,1,1,0,1,1,0,0,0,0,0,3,128,42.666666666666664,44,40,1.8856180831641267,2,1,84,42,2,44,40,44,44,0,44,44,68,22.666666666666668,1.8856180831641272,24,20,44,22,2,24,20,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614,0.614,0,0.614,0.614,0,0,0,0,0,-1,-1,0,0,0,1024,64800,65824,21941.333333333332,30308.537029835155,64800,0,1024,512,512,1024,0,64800,64800,0,64800,64800,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,.A.RS.,208469.05537459283,4885.99348534202,136807.81758957656,3257.328990228013,71661.23778501629,1628.6644951140065,0,0,0,0,0.5,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:445-6,192.168.249.73,44909,192.168.19.166,445,6,2025-03-11 15:16:18.026833 UTC,2025-03-11 15:16:18.026873 UTC,40,TCP Reset,1741706178026,1741706178026,1741706178026,1741706178026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,0.04,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,2100000,49999.99999999999,1100000,24999.999999999996,999999.9999999999,24999.999999999996,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:53-6,192.168.249.73,44909,192.168.19.166,53,6,2025-03-11 15:16:18.027143 UTC,2025-03-11 15:16:18.027216 UTC,73,TCP Reset,1741706178027,1741706178027,1741706178027,1741706178027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.073,0,0.073,0.073,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1150684.9315068494,27397.260273972603,602739.7260273973,13698.630136986301,547945.205479452,13698.630136986301,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:1720-6,192.168.249.73,44909,192.168.19.166,1720,6,2025-03-11 15:16:18.027346 UTC,2025-03-11 15:16:18.027414 UTC,68,TCP Reset,1741706178027,1741706178027,1741706178027,1741706178027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0.068,0,0.068,0.068,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1235294.1176470588,29411.764705882353,647058.8235294118,14705.882352941177,588235.2941176471,14705.882352941177,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:993-6,192.168.249.73,44909,192.168.19.166,993,6,2025-03-11 15:16:18.027591 UTC,2025-03-11 15:16:18.027655 UTC,64,TCP Reset,1741706178027,1741706178027,1741706178027,1741706178027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.064,0,0.064,0.064,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1312500,31250,687500,15625,625000,15625,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:2602-6,192.168.249.73,44909,192.168.19.166,2602,6,2025-03-11 15:16:18.029193 UTC,2025-03-11 15:16:18.029238 UTC,45,TCP Reset,1741706178029,1741706178029,1741706178029,1741706178029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.045,0,0.045,0.045,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1866666.6666666665,44444.444444444445,977777.7777777778,22222.222222222223,888888.8888888889,22222.222222222223,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:24-6,192.168.249.73,44909,192.168.19.166,24,6,2025-03-11 15:16:18.029540 UTC,2025-03-11 15:16:18.029594 UTC,54,TCP Reset,1741706178029,1741706178029,1741706178029,1741706178029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0.054,0,0.054,0.054,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1555555.5555555555,37037.03703703704,814814.8148148148,18518.51851851852,740740.7407407408,18518.51851851852,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:4899-6,192.168.249.73,44909,192.168.19.166,4899,6,2025-03-11 15:16:18.029712 UTC,2025-03-11 15:16:18.029769 UTC,57,TCP Reset,1741706178029,1741706178029,1741706178029,1741706178029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0.057,0,0.057,0.057,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1473684.2105263157,35087.71929824561,771929.8245614035,17543.859649122805,701754.3859649122,17543.859649122805,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:5102-6,192.168.249.73,44909,192.168.19.166,5102,6,2025-03-11 15:16:18.030800 UTC,2025-03-11 15:16:18.030858 UTC,58,TCP Reset,1741706178030,1741706178030,1741706178030,1741706178030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0.058,0,0.058,0.058,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1448275.8620689656,34482.75862068965,758620.6896551724,17241.379310344826,689655.172413793,17241.379310344826,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:15004-6,192.168.249.73,44909,192.168.19.166,15004,6,2025-03-11 15:16:18.031001 UTC,2025-03-11 15:16:18.031034 UTC,33,TCP Reset,1741706178031,1741706178031,1741706178031,1741706178031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.033,0,0.033,0.033,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,2545454.5454545454,60606.0606060606,1333333.3333333333,30303.0303030303,1212121.212121212,30303.0303030303,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:3052-6,192.168.249.73,44909,192.168.19.166,3052,6,2025-03-11 15:16:18.031614 UTC,2025-03-11 15:16:18.031650 UTC,36,TCP Reset,1741706178031,1741706178031,1741706178031,1741706178031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0.036,0,0.036,0.036,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,2333333.3333333335,55555.555555555555,1222222.2222222222,27777.777777777777,1111111.111111111,27777.777777777777,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:5718-6,192.168.249.73,44909,192.168.19.166,5718,6,2025-03-11 15:16:18.032453 UTC,2025-03-11 15:16:18.032529 UTC,76,TCP Reset,1741706178032,1741706178032,1741706178032,1741706178032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0.076,0,0.076,0.076,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1105263.1578947369,26315.78947368421,578947.3684210526,13157.894736842105,526315.7894736842,13157.894736842105,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:3920-6,192.168.249.73,44909,192.168.19.166,3920,6,2025-03-11 15:16:18.032474 UTC,2025-03-11 15:16:18.032554 UTC,80,TCP Reset,1741706178032,1741706178032,1741706178032,1741706178032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0.08,0.08,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,1050000,24999.999999999996,550000,12499.999999999998,499999.99999999994,12499.999999999998,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:1839-6,192.168.249.73,44909,192.168.19.166,1839,6,2025-03-11 15:16:18.032758 UTC,2025-03-11 15:16:18.032858 UTC,100,TCP Reset,1741706178032,1741706178032,1741706178032,1741706178032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,840000,20000,440000,10000,400000,10000,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:2525-6,192.168.249.73,44909,192.168.19.166,2525,6,2025-03-11 15:16:18.033088 UTC,2025-03-11 15:16:18.033203 UTC,115,TCP Reset,1741706178033,1741706178033,1741706178033,1741706178033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0.115,0,0.115,0.115,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,730434.7826086957,17391.304347826088,382608.6956521739,8695.652173913044,347826.0869565217,8695.652173913044,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:1036-6,192.168.249.73,44909,192.168.19.166,1036,6,2025-03-11 15:16:18.033484 UTC,2025-03-11 15:16:18.033618 UTC,134,TCP Reset,1741706178033,1741706178033,1741706178033,1741706178033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0.134,0,0.134,0.134,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,626865.671641791,14925.373134328358,328358.20895522385,7462.686567164179,298507.46268656716,7462.686567164179,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:56738-6,192.168.249.73,44909,192.168.19.166,56738,6,2025-03-11 15:16:18.033921 UTC,2025-03-11 15:16:18.034062 UTC,141,TCP Reset,1741706178033,1741706178034,1741706178033,1741706178034,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0,0.141,0.141,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,595744.6808510638,14184.397163120566,312056.73758865247,7092.198581560283,283687.94326241134,7092.198581560283,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
192.168.249.73:44909-192.168.19.166:52848-6,192.168.249.73,44909,192.168.19.166,52848,6,2025-03-11 15:16:18.033962 UTC,2025-03-11 15:16:18.034102 UTC,140,TCP Reset,1741706178033,1741706178034,1741706178033,1741706178034,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,84,42,44,40,2,1,1,44,44,0,44,44,40,40,0,40,40,44,22,2,24,20,24,24,0,24,24,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0.14,0.14,0,0,0,0,0,-1,-1,0,0,0,1024,0,1024,512,512,1024,0,1024,1024,0,1024,1024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,.A.RS.,600000,14285.714285714286,314285.7142857143,7142.857142857143,285714.28571428574,7142.857142857143,0,0,0,0,1,1,port-scan,nmap,nmap_A_T4
